run_id,scenario,hour,unit_id,group_id,animal_id,animal_regime,animal_severity,animal_action,animal_score,activity,rumination,locomotion_quality,thermal_discomfort,feeding_engagement,drinking_pressure,respiration_load,management_disruption,visual_anomaly_proxy,ventilation_quality,water_status,feed_delivery_quality,bedding_quality,phase
0,demo_escalation_recovery,0,Unit_1,Unit_1_Group_1,Unit_1_Group_1_Animal_01,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,0,Unit_1,Unit_1_Group_1,Unit_1_Group_1_Animal_02,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,0,Unit_2,Unit_2_Group_1,Unit_2_Group_1_Animal_01,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,0,Unit_2,Unit_2_Group_1,Unit_2_Group_1_Animal_02,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,1,Unit_1,Unit_1_Group_1,Unit_1_Group_1_Animal_01,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,1,Unit_1,Unit_1_Group_1,Unit_1_Group_1_Animal_02,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,1,Unit_2,Unit_2_Group_1,Unit_2_Group_1_Animal_01,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,1,Unit_2,Unit_2_Group_1,Unit_2_Group_1_Animal_02,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,2,Unit_1,Unit_1_Group_1,Unit_1_Group_1_Animal_01,transition,YELLOW,next_routine_inspection,0.55,0.48,0.56,0.62,0.48,0.58,0.48,0.48,0.3,0.3,0.62,0.68,0.7,0.68,0.6
0,demo_escalation_recovery,2,Unit_1,Unit_1_Group_1,Unit_1_Group_1_Animal_02,transition,YELLOW,next_routine_inspection,0.55,0.48,0.56,0.62,0.48,0.58,0.48,0.48,0.3,0.3,0.62,0.68,0.7,0.68,0.6
0,demo_escalation_recovery,2,Unit_2,Unit_2_Group_1,Unit_2_Group_1_Animal_01,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,2,Unit_2,Unit_2_Group_1,Unit_2_Group_1_Animal_02,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
0,demo_escalation_recovery,3,Unit_1,Unit_1_Group_1,Unit_1_Group_1_Animal_01,collapse-risk,RED,immediate_targeted_inspection,0.8,0.28,0.34,0.4,0.72,0.38,0.68,0.7,0.52,0.58,0.42,0.46,0.48,0.5,1.0
0,demo_escalation_recovery,3,Unit_1,Unit_1_Group_1,Unit_1_Group_1_Animal_02,collapse-risk,RED,immediate_targeted_inspection,0.8,0.28,0.34,0.4,0.72,0.38,0.68,0.7,0.52,0.58,0.42,0.46,0.48,0.5,1.0
0,demo_escalation_recovery,3,Unit_2,Unit_2_Group_1,Unit_2_Group_1_Animal_01,stable,GREEN,standard_monitoring,0.25,0.7,0.78,0.84,0.22,0.8,0.3,0.22,0.18,0.1,0.82,0.92,0.9,0.86,0.0
